learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
base,0.675,0.25,0.16875,0.25,0.39,24.46143967310532,710,8,0,0.14866470277828303,-40.59415358170832
base,0.675,0.25,0.16875,0.25,0.4,24.46143967310532,710,8,0,0.15247661823413644,-40.59351315574914
base,0.675,0.25,0.16875,0.25,0.41,24.46143967310532,710,8,0,0.15628853368998985,-40.59287272978996
base,0.675,0.25,0.16875,0.25,0.42,24.46143967310532,710,8,0,0.16010044914584323,-40.59223230383079
base,0.675,0.25,0.16875,0.25,0.43,24.46143967310532,710,8,0,0.16391236460169664,-40.591591877871615
base,0.675,0.25,0.16875,0.25,0.44,24.46143967310532,710,8,0,0.16772428005755008,-40.59095145191243
base,0.675,0.25,0.16875,0.25,0.45,24.46143967310532,710,8,0,0.1715361955134035,-40.59031102595326
base,0.675,0.25,0.16875,0.25,0.46,24.46143967310532,710,8,0,0.1753481109692569,-40.58967059999408
base,0.675,0.25,0.16875,0.25,0.47,24.46143967310532,710,8,0,0.17916002642511028,-40.5890301740349
base,0.675,0.25,0.16875,0.25,0.48,24.46143967310532,710,8,0,0.18297194188096372,-40.58838974807573
base,0.675,0.25,0.16875,0.25,0.49,24.46143967310532,710,8,0,0.18678385733681713,-40.58774932211655
base,0.675,0.25,0.16875,0.25,0.5,24.46143967310532,710,8,0,0.19059577279267054,-40.58710889615738
base,0.675,0.25,0.16875,0.25,0.51,24.46143967310532,710,8,0,0.19440768824852395,-40.58646847019819
base,0.675,0.25,0.16875,0.25,0.52,24.46143967310532,710,8,0,0.19821960370437733,-40.58582804423902
base,0.675,0.25,0.16875,0.25,0.53,24.46143967310532,710,8,0,0.20203151916023077,-40.585187618279846
base,0.675,0.25,0.16875,0.25,0.54,24.46143967310532,710,8,0,0.2058434346160842,-40.58454719232067
base,0.675,0.25,0.16875,0.25,0.55,24.46143967310532,710,8,0,0.20965535007193764,-40.58390676636149
base,0.675,0.25,0.16875,0.25,0.56,24.46143967310532,710,8,0,0.21346726552779105,-40.58326634040231
base,0.675,0.25,0.16875,0.25,0.57,24.46143967310532,710,8,0,0.21727918098364438,-40.58262591444314
base,0.675,0.25,0.16875,0.25,0.58,24.46143967310532,710,8,0,0.22109109643949781,-40.58198548848396
base,0.675,0.25,0.16875,0.25,0.59,24.46143967310532,710,8,0,0.22490301189535122,-40.58134506252478
base,0.675,0.25,0.16875,0.25,0.6,24.46143967310532,710,8,0,0.22871492735120463,-40.580704636565606
base,0.675,0.25,0.16875,0.25,0.61,24.46143967310532,710,8,0,0.23252684280705807,-40.58006421060642
base,0.675,0.25,0.16875,0.25,0.62,24.46143967310532,710,8,0,0.23633875826291145,-40.57942378464725
base,0.675,0.25,0.16875,0.25,0.63,24.46143967310532,710,8,0,0.2401506737187649,-40.57878335868807
base,0.675,0.25,0.16875,0.25,0.64,24.46143967310532,710,8,0,0.24396258917461827,-40.5781429327289
base,0.675,0.25,0.16875,0.25,0.65,24.46143967310532,710,8,0,0.24777450463047168,-40.57750250676972
base,0.675,0.25,0.16875,0.25,0.66,24.46143967310532,710,8,0,0.2515864200863251,-40.57686208081054
base,0.675,0.25,0.16875,0.25,0.67,24.46143967310532,710,8,0,0.2553983355421785,-40.576221654851366
base,0.675,0.25,0.16875,0.25,0.68,24.46143967310532,710,8,0,0.25921025099803197,-40.57558122889219
base,0.675,0.25,0.16875,0.25,0.69,24.46143967310532,710,8,0,0.2630221664538854,-40.574940802933014
base,0.675,0.25,0.16875,0.25,0.7,24.46143967310532,710,8,0,0.26683408190973873,-40.57430037697384
base,0.675,0.25,0.16875,0.25,0.71,24.46143967310532,710,8,0,0.27064599736559214,-40.57365995101466
base,0.675,0.25,0.16875,0.25,0.72,24.46143967310532,710,8,0,0.2744579128214456,-40.57301952505548
base,0.675,0.25,0.16875,0.25,0.73,24.46143967310532,710,8,0,0.278269828277299,-40.57237909909631
base,0.675,0.25,0.16875,0.25,0.74,24.46143967310532,710,8,0,0.28208174373315237,-40.57173867313713
base,0.675,0.25,0.16875,0.25,0.75,24.46143967310532,710,8,0,0.2858936591890058,-40.57109824717795
base,0.675,0.25,0.16875,0.25,0.76,24.46143967310532,710,8,0,0.28970557464485924,-40.570457821218774
base,0.675,0.25,0.16875,0.25,0.77,24.46143967310532,710,8,0,0.29351749010071265,-40.5698173952596
base,0.675,0.25,0.16875,0.25,0.78,24.46143967310532,710,8,0,0.29732940555656606,-40.56917696930042
base,0.675,0.25,0.16875,0.25,0.79,24.46143967310532,710,8,0,0.3011413210124194,-40.56853654334124
base,0.675,0.25,0.16875,0.25,0.8,24.46143967310532,710,9,0,0.3049532364682729,-40.56789611738207
base,0.675,0.25,0.16875,0.25,0.81,24.46143967310532,710,9,0,0.3087651519241263,-40.56725569142289
base,0.675,0.25,0.16875,0.25,0.82,24.46143967310532,710,9,0,0.3125770673799797,-40.56661526546372
base,0.675,0.25,0.16875,0.25,0.83,24.46143967310532,710,9,0,0.3163889828358331,-40.565974839504534
base,0.675,0.25,0.16875,0.25,0.84,24.46143967310532,710,9,0,0.32020089829168646,-40.56533441354536
base,0.675,0.25,0.16875,0.25,0.85,24.46143967310532,710,9,0,0.32401281374754,-40.56469398758618
base,0.675,0.25,0.16875,0.25,0.86,24.46143967310532,710,9,0,0.3278247292033933,-40.564053561627006
base,0.675,0.25,0.16875,0.25,0.87,24.46143967310532,710,9,0,0.33163664465924675,-40.56341313566783
base,0.675,0.25,0.16875,0.25,0.88,24.46143967310532,710,9,0,0.33544856011510016,-40.56277270970865
base,0.675,0.25,0.16875,0.25,0.89,24.46143967310532,710,9,0,0.33926047557095357,-40.56213228374947
base,0.675,0.25,0.16875,0.25,0.9,24.46143967310532,710,9,0,0.343072391026807,-40.5614918577903
base,0.675,0.25,0.16875,0.25,0.91,24.46143967310532,710,9,0,0.3468843064826604,-40.56085143183112
base,0.675,0.25,0.16875,0.25,0.92,24.46143967310532,710,9,0,0.3506962219385138,-40.56021100587194
base,0.675,0.25,0.16875,0.25,0.93,24.46143967310532,710,9,0,0.35450813739436715,-40.559570579912766
base,0.675,0.25,0.16875,0.25,0.94,24.46143967310532,710,9,0,0.35832005285022056,-40.55893015395359
base,0.675,0.25,0.16875,0.25,0.95,24.46143967310532,710,9,0,0.36213196830607397,-40.55828972799441
base,0.675,0.25,0.16875,0.25,0.96,24.46143967310532,710,9,0,0.36594388376192744,-40.55764930203524
base,0.675,0.25,0.16875,0.25,0.97,24.46143967310532,710,9,0,0.36975579921778085,-40.55700887607606
base,0.675,0.25,0.16875,0.25,0.98,24.46143967310532,710,9,0,0.37356771467363425,-40.556368450116885
base,0.675,0.25,0.16875,0.25,0.99,24.46143967310532,710,9,0,0.37737963012948766,-40.5557280241577
base,0.675,0.25,0.16875,0.25,1.0,24.46143967310532,710,9,0,0.3811915455853411,-40.555087598198526
base,0.675,0.25,0.16875,0.5,0.0,21.370072531463247,710,0,0,0.0,-59.85951499872514
base,0.675,0.25,0.16875,0.5,0.01,21.370072531463247,710,0,0,0.0038119154558534105,-59.85887457276596
base,0.675,0.25,0.16875,0.5,0.02,21.370072531463247,710,0,0,0.007623830911706821,-59.85823414680679
base,0.675,0.25,0.16875,0.5,0.03,21.370072531463247,710,0,0,0.011435746367560232,-59.8575937208476
base,0.675,0.25,0.16875,0.5,0.04,21.370072531463247,710,0,0,0.015247661823413642,-59.85695329488843
base,0.675,0.25,0.16875,0.5,0.05,21.370072531463247,710,0,0,0.019059577279267055,-59.85631286892925
base,0.675,0.25,0.16875,0.5,0.06,21.370072531463247,710,0,0,0.022871492735120465,-59.855672442970075
base,0.675,0.25,0.16875,0.5,0.07,21.370072531463247,710,0,0,0.02668340819097388,-59.8550320170109
base,0.675,0.25,0.16875,0.5,0.08,21.370072531463247,710,0,0,0.030495323646827284,-59.85439159105172
base,0.675,0.25,0.16875,0.5,0.09,21.370072531463247,710,0,0,0.0343072391026807,-59.85375116509255
base,0.675,0.25,0.16875,0.5,0.1,21.370072531463247,710,0,0,0.03811915455853411,-59.85311073913337
base,0.675,0.25,0.16875,0.5,0.11,21.370072531463247,710,0,0,0.04193107001438752,-59.85247031317419
base,0.675,0.25,0.16875,0.5,0.12,21.370072531463247,710,0,0,0.04574298547024093,-59.85182988721501
base,0.675,0.25,0.16875,0.5,0.13,21.370072531463247,710,0,0,0.04955490092609433,-59.851189461255835
base,0.675,0.25,0.16875,0.5,0.14,21.370072531463247,710,0,0,0.05336681638194776,-59.85054903529666
base,0.675,0.25,0.16875,0.5,0.15,21.370072531463247,710,0,0,0.05717873183780116,-59.84990860933748
base,0.675,0.25,0.16875,0.5,0.16,21.370072531463247,710,0,0,0.06099064729365457,-59.84926818337831
base,0.675,0.25,0.16875,0.5,0.17,21.370072531463247,710,0,0,0.06480256274950799,-59.84862775741913
base,0.675,0.25,0.16875,0.5,0.18,21.370072531463247,710,0,0,0.0686144782053614,-59.847987331459954
base,0.675,0.25,0.16875,0.5,0.19,21.370072531463247,710,0,0,0.07242639366121481,-59.84734690550077
base,0.675,0.25,0.16875,0.5,0.2,21.370072531463247,710,0,0,0.07623830911706822,-59.846706479541595
base,0.675,0.25,0.16875,0.5,0.21,21.370072531463247,710,0,0,0.08005022457292162,-59.84606605358242
base,0.675,0.25,0.16875,0.5,0.22,21.370072531463247,710,0,0,0.08386214002877504,-59.84542562762325
base,0.675,0.25,0.16875,0.5,0.23,21.370072531463247,710,0,0,0.08767405548462845,-59.84478520166407
base,0.675,0.25,0.16875,0.5,0.24,21.370072531463247,710,0,0,0.09148597094048186,-59.84414477570489
base,0.675,0.25,0.16875,0.5,0.25,21.370072531463247,710,0,0,0.09529788639633527,-59.843504349745714
base,0.675,0.25,0.16875,0.5,0.26,21.370072531463247,710,0,0,0.09910980185218866,-59.84286392378654
base,0.675,0.25,0.16875,0.5,0.27,21.370072531463247,710,0,0,0.1029217173080421,-59.842223497827355
base,0.675,0.25,0.16875,0.5,0.28,21.370072531463247,710,0,0,0.10673363276389553,-59.84158307186818
base,0.675,0.25,0.16875,0.5,0.29,21.370072531463247,710,0,0,0.11054554821974891,-59.840942645909
base,0.675,0.25,0.16875,0.5,0.3,21.370072531463247,710,0,0,0.11435746367560232,-59.84030221994983
base,0.675,0.25,0.16875,0.5,0.31,21.370072531463247,710,0,0,0.11816937913145573,-59.83966179399065
base,0.675,0.25,0.16875,0.5,0.32,21.370072531463247,710,0,0,0.12198129458730914,-59.83902136803148
base,0.675,0.25,0.16875,0.5,0.33,21.370072531463247,710,0,0,0.12579321004316255,-59.8383809420723
base,0.675,0.25,0.16875,0.5,0.34,21.370072531463247,710,0,0,0.12960512549901598,-59.83774051611312
base,0.675,0.25,0.16875,0.5,0.35,21.370072531463247,710,0,0,0.13341704095486936,-59.83710009015394
base,0.675,0.25,0.16875,0.5,0.36,21.370072531463247,710,0,0,0.1372289564107228,-59.83645966419478
base,0.675,0.25,0.16875,0.5,0.37,21.370072531463247,710,0,0,0.14104087186657618,-59.83581923823559
base,0.675,0.25,0.16875,0.5,0.38,21.370072531463247,710,0,0,0.14485278732242962,-59.83517881227641
base,0.675,0.25,0.16875,0.5,0.39,21.370072531463247,710,0,0,0.14866470277828303,-59.834538386317234
base,0.675,0.25,0.16875,0.5,0.4,21.370072531463247,710,0,0,0.15247661823413644,-59.83389796035806
base,0.675,0.25,0.16875,0.5,0.41,21.370072531463247,710,0,0,0.15628853368998985,-59.83325753439888
base,0.675,0.25,0.16875,0.5,0.42,21.370072531463247,710,0,0,0.16010044914584323,-59.83261710843971
base,0.675,0.25,0.16875,0.5,0.43,21.370072531463247,710,0,0,0.16391236460169664,-59.83197668248052
base,0.675,0.25,0.16875,0.5,0.44,21.370072531463247,710,0,0,0.16772428005755008,-59.83133625652135
base,0.675,0.25,0.16875,0.5,0.45,21.370072531463247,710,0,0,0.1715361955134035,-59.83069583056217
base,0.675,0.25,0.16875,0.5,0.46,21.370072531463247,710,0,0,0.1753481109692569,-59.830055404602994
base,0.675,0.25,0.16875,0.5,0.47,21.370072531463247,710,0,0,0.17916002642511028,-59.82941497864382
base,0.675,0.25,0.16875,0.5,0.48,21.370072531463247,710,0,0,0.18297194188096372,-59.82877455268465
