ObjectId,power_type_cn,province_cn,merge_province_cn,capacity_mw,gen_mwh,curt_mwh,potential_mwh,curtailment_rate,gen_utilization_hours,curtailed_equivalent_hours,potential_resource_hours,curt_positive_hours,available_low_cost_electricity_mwh,h2_alkaline_55kwh_t,h2_pem_56kwh_t,status,start_year,project_name,latitude,longitude
6176,光伏,新疆,新疆,30.0,31617.838906835987,8917.851999364004,40535.69090619999,0.2200000000000001,1053.9279635611997,297.26173331213346,1351.189696873333,2219,8917.851999364004,162.14276362480004,159.24735713150005,operating,2014.0,Xinjiang Corps Shihezi 8th Division 148 Regiment Lantian solar farm,44.2738,86.0898
6177,光伏,山西,山西,100.0,132775.17061348754,18967.88151621249,151743.05212970002,0.1249999999999999,1327.7517061348751,189.6788151621249,1517.4305212970005,1764,18967.88151621249,344.8705730220454,338.71216993236595,operating,2022.0,Shanxi Zhangzi Smart solar farm,36.1005,112.754
6178,光伏,新疆,新疆,150.0,156236.79955798207,44066.78961891801,200303.58917690004,0.2199999999999999,1041.5786637198803,293.7785974594534,1335.3572611793338,2162,44066.78961891801,801.2143567076002,786.9069574806787,operating,2022.0,Xinjiang Bachu (Guangdong Hydro) solar power plant,39.7667,78.2496
6179,光伏,山西,山西,300.0,452850.9338236625,64692.99054623754,517543.9243699,0.125,1509.5031127455418,215.64330182079172,1725.1464145663335,1789,64692.99054623754,1176.2361917497733,1155.231974039956,operating,2023.0,Shanxi Xinfu District (Huadian) solar farm,38.736,112.477
6183,光伏,新疆,新疆,50.0,49477.63431109202,13955.230190307995,63432.864501400014,0.2199999999999999,989.5526862218404,279.10460380616,1268.6572900280005,2244,13955.230190307995,253.7314580056,249.2005391126428,operating,2022.0,Xinjiang Karamay Oilfield Demonstration solar farm,45.639,85.132
6185,光伏,西藏,西藏,40.0,48875.987678598,41635.10061510199,90511.08829369998,0.46,1221.89969196495,1040.8775153775498,2262.7772073424994,2805,41635.10061510199,757.0018293654908,743.4839395553927,operating,2020.0,Tibet Mengshifeng Guyuan Gangba solar farm,28.2848,88.5221
6186,光伏,新疆,新疆,30.0,34298.376995921986,9673.901203977995,43972.27819989998,0.22,1143.2792331973994,322.4633734659332,1465.7426066633327,2103,9673.901203977995,175.88911279959993,172.74823578532136,operating,2013.0,Xinjiang Hami Shichengzi CGN solar farm,43.0348,93.6374
6187,光伏,山西,山西,20.0,29156.526267487505,4165.218038212503,33321.744305700005,0.125,1457.826313374375,208.2609019106252,1666.0872152850004,1786,4165.218038212503,75.73123705840914,74.37889353950898,operating,2018.0,Shanxi Zhongyang Poverty Alleviation solar farm,37.2313,111.2242
6189,光伏,新疆,新疆,100.0,105341.72136071998,29711.767563279995,135053.48892399998,0.22,1053.4172136071998,297.11767563279994,1350.5348892399998,2160,29711.767563279995,540.2139556959999,530.5672779157142,operating,2023.0,Xinjiang Bachu (Guangdong Hydro) solar power plant,39.7981,78.5478
6190,光伏,新疆,新疆,70.0,67334.475546078,18991.775154022005,86326.2507001,0.22,961.9210792296856,271.31107362888577,1233.2321528585717,2227,18991.775154022005,345.3050028004001,339.1388420361072,operating,2022.0,Xinjiang Karamay Oilfield solar project,46.1128,85.6729
6191,光伏,新疆,新疆,51.0,49094.83293842399,13847.260572375995,62942.09351079999,0.2199999999999999,962.6437831063528,271.5149131838431,1234.1586962901958,2220,13847.260572375995,251.7683740431999,247.27251022099992,operating,2021.0,Xinjiang Corps Shihezi Eighth Division 51 MW Demonstration solar farm,45.1807,85.0548
6192,光伏,天津,天津,20.0,26603.60805402899,822.792001670999,27426.40005569999,0.0299999999999999,1330.1804027014496,41.13960008354995,1371.3200027849994,1048,822.792001670999,14.959854575836344,14.692714315553554,operating,2022.0,Tianjin Binhai Centralized solar farm,39.0128,117.7033
6197,光伏,新疆,新疆,800.0,833262.931366164,235022.87807763604,1068285.8094438,0.22,1041.578664207705,293.77859759704506,1335.35726180475,2162,235022.87807763604,4273.143237775202,4196.837108529215,operating,2023.0,Xinjiang Bachu (Guangdong Hydro) solar power plant,39.7667,78.2496
6199,光伏,新疆,新疆,1600.0,1685467.5416765157,475388.2809856842,2160855.8226622,0.2200000000000001,1053.4172135478225,297.1176756160526,1350.534889163875,2160,475388.2809856842,8643.423290648803,8489.076446172932,operating,,Xinjiang Bachu (Guangdong Hydro) solar power plant,39.7981,78.5478
62,光伏,安徽,安徽,100.0,103287.544703343,7774.331321757002,111061.8760251,0.07,1032.87544703343,77.74331321757002,1110.618760251,1399,7774.331321757002,141.35147857740003,138.82734503137505,operating,2022.0,Anhui Xuanzhou Yangxianxiang Fishery solar farm,30.9487,118.7514
620,光伏,广东,广东,30.0,37417.434009102,2177.734254497997,39595.1682636,0.0549999999999999,1247.2478003034,72.5911418165999,1319.83894212,1211,2177.734254497997,39.595168263599945,38.88811168746423,operating,2021.0,Guangdong Haifeng Chikengzhen (Xinneng) Fishery solar farm,22.8491,115.4842
6203,光伏,山西,山西,50.0,64443.15677344997,9206.165253349996,73649.32202679997,0.125,1288.8631354689994,184.123305067,1472.9864405359997,1758,9206.165253349996,167.3848227881818,164.39580809553567,operating,2022.0,Shanxi Zuoquan (State Power Investment) 50 MW solar farm,36.849,113.454
6205,光伏,新疆,新疆,20.0,23009.24354305199,6489.786640348003,29499.030183399995,0.2200000000000001,1150.4621771525997,324.48933201740016,1474.9515091699998,2118,6489.786640348003,117.99612073360005,115.88904714907147,operating,2016.0,Xinjiang Hami Shichengzi Guotou solar farm,42.8234,93.5052
6208,光伏,西藏,西藏,120.0,121545.29879807404,103538.58786502604,225083.88666310007,0.4599999999999999,1012.8774899839502,862.8215655418835,1875.699055525834,2649,103538.58786502604,1882.5197793641096,1848.903354732608,operating,2022.0,Tibet Naqu Seni District solar farm,31.271,91.6141
6209,光伏,山西,山西,50.0,68912.3883175875,9844.626902512498,78757.01522009999,0.125,1378.24776635175,196.89253805024995,1575.1403044019996,1758,9844.626902512498,178.99321640931814,175.79690897343747,operating,2019.0,Shanxi Zuoquan Shixia solar farm,37.1068,113.3053
6211,光伏,山西,山西,100.0,141835.1104484125,20262.158635487503,162097.2690839,0.125,1418.351104484125,202.62158635487503,1620.972690839,1711,20262.158635487503,368.402884281591,361.8242613479911,operating,2020.0,Shanxi Xinrong (LONGi) solar farm,40.2479,113.1253
6212,光伏,新疆,新疆,20.0,23122.951048626004,6521.857988074011,29644.80903670002,0.2200000000000002,1156.1475524313005,326.0928994037006,1482.2404518350008,2105,6521.857988074011,118.57923614680018,116.46174978703591,operating,2013.0,Xinjiang Hami Sinohydro solar farm,43.0366,93.6533
6214,光伏,新疆,新疆,100.0,122045.708785962,34423.14863193802,156468.85741790003,0.22,1220.45708785962,344.23148631938017,1564.6885741790002,2227,34423.14863193802,625.8754296716004,614.699082713179,operating,2019.0,Xinjiang Mulei Caitian Silk Road solar farm,43.8332,90.2839
6215,光伏,新疆,新疆,100.0,102761.69119928396,28984.066748516,131745.75794779998,0.22,1027.6169119928395,289.84066748516,1317.4575794779998,2182,28984.066748516,526.9830317912,517.5726205092143,operating,2022.0,Xinjiang Bachu (Silk Road Grid) solar/storage farm,39.999,78.939
6219,光伏,新疆,新疆,54.4,55257.876023610006,15585.55477589001,70843.43079950001,0.22,1015.769779845772,286.4991686744487,1302.2689485202209,2248,15585.55477589001,283.3737231980001,278.31347814089304,operating,2023.0,Xinjiang Corps Shihezi Shihutan Source/Grid/Load/Storage solar farm,44.615,86.078
622,光伏,广东,广东,150.0,182749.60018652395,10636.220116676,193385.8203032,0.055,1218.3306679101595,70.90813411117334,1289.238802021333,1174,10636.220116676,193.3858203032,189.9325020835,operating,2021.0,Guangdong Haifeng Meilong (Yuedian) Fishery solar farm,22.854,115.2326
6220,光伏,西藏,西藏,20.0,18745.911613763987,15968.739522836007,34714.6511366,0.4600000000000003,937.2955806881994,798.4369761418004,1735.7325568299998,2704,15968.739522836007,290.3407185970183,285.15606290778584,operating,2014.0,Tibet Nedong Xiehe solar farm,29.2284,91.7601
6222,光伏,山西,山西,20.0,28227.735283300004,4032.533611900004,32260.268895200006,0.125,1411.3867641650002,201.62668059500012,1613.0134447600003,1689,4032.533611900004,73.31879294363642,72.00952878392863,operating,2016.0,Shanxi Xinrong District Buziwanxiang Zhongneng Huatai solar farm,40.3504,113.2753
6224,光伏,新疆,新疆,250.0,255139.31021108408,71962.36954671601,327101.6797578001,0.22,1020.5572408443364,287.8494781868641,1308.4067190312005,2163,71962.36954671601,1308.4067190312005,1285.042313334215,operating,2022.0,Xinjiang Bachu Sanchakou solar farm,39.9531,78.4409
6230,光伏,新疆,新疆,50.0,55552.123141632015,15668.547552768005,71220.67069440002,0.22,1111.0424628326402,313.3709510553601,1424.4134138880002,2201,15668.547552768005,284.88268277760005,279.79549201371435,operating,2016.0,Xinjiang Hami Southeast Shankou CGN solar farm,42.3905,93.5794
6232,光伏,山西,山西,50.0,72151.66651629997,10307.3809309,82459.04744719998,0.125,1443.0333303259995,206.147618618,1649.1809489439995,1776,10307.3809309,187.4069260163636,184.06037376607145,operating,2020.0,Shanxi Xinzhou Ningwu CGN solar farm,38.9231,112.2585
6233,光伏,新疆,新疆,20.0,20418.215622090003,5758.983893410003,26177.199515500008,0.22,1020.9107811045002,287.94919467050016,1308.8599757750003,2230,5758.983893410003,104.70879806200006,102.83899809660718,operating,2015.0,Xinjiang Karamay Wu'erhe TBEA Grid-Connected solar farm,45.9128,85.3394
6239,光伏,新疆,新疆,20.0,21093.35959645201,5949.409116947999,27042.768713400008,0.2199999999999999,1054.6679798226005,297.4704558474,1352.1384356700005,2225,5949.409116947999,108.17107485359999,106.23944851692856,operating,2017.0,Xinjiang Corps Shihezi Tianfu Jinyang Distributed solar farm,44.305,86.0467
6242,光伏,山西,山西,30.0,44060.43576935002,6294.347967050003,50354.78373640002,0.125,1468.6811923116677,209.8115989016668,1678.4927912133342,1778,6294.347967050003,114.44269031000003,112.39907084017862,operating,2018.0,Shanxi Xinzhou Ningwu Shuojing solar farm,38.8175,112.2214
6245,光伏,山西,山西,50.0,68319.6826360125,9759.954662287502,78079.6372983,0.125,1366.39365272025,195.19909324575,1561.592745966,1753,9759.954662287502,177.45372113250005,174.28490468370538,operating,2022.0,Shanxi Zuoquan Zoucheng Zhaiwei solar power plant,37.0806,113.3816
