learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
conservative,0.5,0.2,0.1,0.75,0.5,22.58121372802092,710,0,0,0.11804544335956388,-49.86517799529642
conservative,0.5,0.2,0.1,0.75,0.75,22.58121372802092,710,4,0,0.1770681650393458,-49.85526271214627
conservative,0.5,0.2,0.1,0.75,1.0,22.58121372802092,710,5,0,0.23609088671912776,-49.84534742899613
conservative,0.5,0.2,0.1,1.0,0.0,21.018918422556897,710,0,0,0.0,-59.017191355743236
conservative,0.5,0.2,0.1,1.0,0.25,21.018918422556897,710,0,0,0.05902272167978194,-59.007276072593086
conservative,0.5,0.2,0.1,1.0,0.5,21.018918422556897,710,0,0,0.11804544335956388,-58.99736078944295
conservative,0.5,0.2,0.1,1.0,0.75,21.018918422556897,710,0,0,0.1770681650393458,-58.9874455062928
conservative,0.5,0.2,0.1,1.0,1.0,21.018918422556897,710,0,0,0.23609088671912776,-58.97753022314265
conservative,0.5,0.25,0.125,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.5,0.25,0.125,0.0,0.25,28.0,710,710,4,0.05658142175380079,-18.897489763954574
conservative,0.5,0.25,0.125,0.0,0.5,28.0,710,710,4,0.11316284350760158,-18.887984634666665
conservative,0.5,0.25,0.125,0.0,0.75,28.0,710,710,5,0.16974426526140235,-18.878479505378756
conservative,0.5,0.25,0.125,0.0,1.0,28.0,710,710,6,0.22632568701520317,-18.868974376090847
conservative,0.5,0.25,0.125,0.25,0.0,26.062802598661445,710,211,0,0.0,-29.820032384179935
conservative,0.5,0.25,0.125,0.25,0.25,26.062802598661445,710,211,0,0.05658142175380079,-29.81052725489203
conservative,0.5,0.25,0.125,0.25,0.5,26.062802598661445,710,211,0,0.11316284350760158,-29.80102212560412
conservative,0.5,0.25,0.125,0.25,0.75,26.062802598661445,710,212,0,0.16974426526140235,-29.791516996316215
conservative,0.5,0.25,0.125,0.25,1.0,26.062802598661445,710,212,0,0.22632568701520317,-29.782011867028302
conservative,0.5,0.25,0.125,0.5,0.0,24.25963140345692,710,4,0,0.0,-40.16518185434939
conservative,0.5,0.25,0.125,0.5,0.25,24.25963140345692,710,5,0,0.05658142175380079,-40.155676725061475
conservative,0.5,0.25,0.125,0.5,0.5,24.25963140345692,710,7,0,0.11316284350760158,-40.14617159577357
conservative,0.5,0.25,0.125,0.5,0.75,24.25963140345692,710,8,0,0.16974426526140235,-40.136666466485664
conservative,0.5,0.25,0.125,0.5,1.0,24.25963140345692,710,8,0,0.22632568701520317,-40.127161337197755
conservative,0.5,0.25,0.125,0.75,0.0,22.58121372802092,710,0,0,0.0,-49.885008561596706
conservative,0.5,0.25,0.125,0.75,0.25,22.58121372802092,710,0,0,0.05658142175380079,-49.875503432308804
conservative,0.5,0.25,0.125,0.75,0.5,22.58121372802092,710,0,0,0.11316284350760158,-49.86599830302089
conservative,0.5,0.25,0.125,0.75,0.75,22.58121372802092,710,2,0,0.16974426526140235,-49.856493173732986
conservative,0.5,0.25,0.125,0.75,1.0,22.58121372802092,710,5,0,0.22632568701520317,-49.84698804444508
conservative,0.5,0.25,0.125,1.0,0.0,21.018918422556897,710,0,0,0.0,-59.017191355743236
conservative,0.5,0.25,0.125,1.0,0.25,21.018918422556897,710,0,0,0.05658142175380079,-59.00768622645533
conservative,0.5,0.25,0.125,1.0,0.5,21.018918422556897,710,0,0,0.11316284350760158,-58.99818109716742
conservative,0.5,0.25,0.125,1.0,0.75,21.018918422556897,710,0,0,0.16974426526140235,-58.9886759678795
conservative,0.5,0.25,0.125,1.0,1.0,21.018918422556897,710,0,0,0.22632568701520317,-58.97917083859159
conservative,0.5,0.35,0.175,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.5,0.35,0.175,0.0,0.25,28.0,710,710,4,0.05169882190183851,-18.898310071679045
conservative,0.5,0.35,0.175,0.0,0.5,28.0,710,710,4,0.10339764380367703,-18.88962525011561
conservative,0.5,0.35,0.175,0.0,0.75,28.0,710,710,5,0.15509646570551552,-18.88094042855217
conservative,0.5,0.35,0.175,0.0,1.0,28.0,710,710,5,0.20679528760735405,-18.872255606988734
conservative,0.5,0.35,0.175,0.25,0.0,26.062802598661445,710,211,0,0.0,-29.820032384179935
