learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
conservative,0.675,0.35,0.23625,1.0,1.0,20.032296974661982,710,0,0,0.22328025425049372,-66.18844141599158
conservative,0.675,0.5,0.3375,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.675,0.5,0.3375,0.0,0.25,28.0,710,710,4,0.045932798862399794,-18.89927848222196
conservative,0.675,0.5,0.3375,0.0,0.5,28.0,710,710,4,0.09186559772479959,-18.89156207120143
conservative,0.675,0.5,0.3375,0.0,0.75,28.0,710,710,5,0.1377983965871994,-18.883845660180906
conservative,0.675,0.5,0.3375,0.0,1.0,28.0,710,710,5,0.18373119544959918,-18.876129249160382
conservative,0.675,0.5,0.3375,0.25,0.0,25.751421709025838,710,162,0,0.0,-32.03157350695264
conservative,0.675,0.5,0.3375,0.25,0.25,25.751421709025838,710,162,0,0.045932798862399794,-32.023857095932115
conservative,0.675,0.5,0.3375,0.25,0.5,25.751421709025838,710,162,0,0.09186559772479959,-32.01614068491158
conservative,0.675,0.5,0.3375,0.25,0.75,25.751421709025838,710,162,0,0.1377983965871994,-32.00842427389106
conservative,0.675,0.5,0.3375,0.25,1.0,25.751421709025838,710,163,0,0.18373119544959918,-32.000707862870534
conservative,0.675,0.5,0.3375,0.5,0.0,23.6834185727174,710,0,0,0.0,-44.296719486538564
conservative,0.675,0.5,0.3375,0.5,0.25,23.6834185727174,710,0,0,0.045932798862399794,-44.28900307551804
conservative,0.675,0.5,0.3375,0.5,0.5,23.6834185727174,710,4,0,0.09186559772479959,-44.28128666449752
conservative,0.675,0.5,0.3375,0.5,0.75,23.6834185727174,710,5,0,0.1377983965871994,-44.27357025347699
conservative,0.675,0.5,0.3375,0.5,1.0,23.6834185727174,710,7,0,0.18373119544959918,-44.265853842456465
conservative,0.675,0.5,0.3375,0.75,0.0,21.78148925633645,710,0,0,0.0,-55.673180713844516
conservative,0.675,0.5,0.3375,0.75,0.25,21.78148925633645,710,0,0,0.045932798862399794,-55.665464302823985
conservative,0.675,0.5,0.3375,0.75,0.5,21.78148925633645,710,0,0,0.09186559772479959,-55.65774789180347
conservative,0.675,0.5,0.3375,0.75,0.75,21.78148925633645,710,0,0,0.1377983965871994,-55.650031480782935
conservative,0.675,0.5,0.3375,0.75,1.0,21.78148925633645,710,0,0,0.18373119544959918,-55.64231506976241
conservative,0.675,0.5,0.3375,1.0,0.0,20.032296974661982,710,0,0,0.0,-66.2259515526419
conservative,0.675,0.5,0.3375,1.0,0.25,20.032296974661982,710,0,0,0.045932798862399794,-66.21823514162139
conservative,0.675,0.5,0.3375,1.0,0.5,20.032296974661982,710,0,0,0.09186559772479959,-66.21051873060087
conservative,0.675,0.5,0.3375,1.0,0.75,20.032296974661982,710,0,0,0.1377983965871994,-66.20280231958034
conservative,0.675,0.5,0.3375,1.0,1.0,20.032296974661982,710,0,0,0.18373119544959918,-66.1950859085598
conservative,0.7,0.2,0.13999999999999999,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.7,0.2,0.13999999999999999,0.0,0.25,28.0,710,710,4,0.06666227206042775,-18.895795753915777
conservative,0.7,0.2,0.13999999999999999,0.0,0.5,28.0,710,710,5,0.1333245441208555,-18.88459661458907
conservative,0.7,0.2,0.13999999999999999,0.0,0.75,28.0,710,710,5,0.1999868161812833,-18.873397475262365
conservative,0.7,0.2,0.13999999999999999,0.0,1.0,28.0,710,710,7,0.266649088241711,-18.862198335935656
conservative,0.7,0.2,0.13999999999999999,0.25,0.0,25.70600537643646,710,161,0,0.0,-32.35467302092061
conservative,0.7,0.2,0.13999999999999999,0.25,0.25,25.70600537643646,710,161,0,0.06666227206042775,-32.3434738815939
conservative,0.7,0.2,0.13999999999999999,0.25,0.5,25.70600537643646,710,161,0,0.1333245441208555,-32.332274742267195
conservative,0.7,0.2,0.13999999999999999,0.25,0.75,25.70600537643646,710,162,0,0.1999868161812833,-32.32107560294049
conservative,0.7,0.2,0.13999999999999999,0.25,1.0,25.70600537643646,710,162,0,0.266649088241711,-32.30987646361379
conservative,0.7,0.2,0.13999999999999999,0.5,0.0,23.599954014763583,710,0,0,0.0,-44.89580522186912
conservative,0.7,0.2,0.13999999999999999,0.5,0.25,23.599954014763583,710,3,0,0.06666227206042775,-44.88460608254241
conservative,0.7,0.2,0.13999999999999999,0.5,0.5,23.599954014763583,710,5,0,0.1333245441208555,-44.873406943215706
conservative,0.7,0.2,0.13999999999999999,0.5,0.75,23.599954014763583,710,7,0,0.1999868161812833,-44.862207803888985
conservative,0.7,0.2,0.13999999999999999,0.5,1.0,23.599954014763583,710,8,0,0.266649088241711,-44.85100866456229
conservative,0.7,0.2,0.13999999999999999,0.75,0.0,21.66644802811307,710,0,0,0.0,-56.506250379953364
conservative,0.7,0.2,0.13999999999999999,0.75,0.25,21.66644802811307,710,0,0,0.06666227206042775,-56.49505124062666
conservative,0.7,0.2,0.13999999999999999,0.75,0.5,21.66644802811307,710,0,0,0.1333245441208555,-56.48385210129995
conservative,0.7,0.2,0.13999999999999999,0.75,0.75,21.66644802811307,710,0,0,0.1999868161812833,-56.472652961973246
conservative,0.7,0.2,0.13999999999999999,0.75,1.0,21.66644802811307,710,0,0,0.266649088241711,-56.46145382264654
conservative,0.7,0.2,0.13999999999999999,1.0,0.0,19.891351053534137,710,0,0,0.0,-67.25577443791315
conservative,0.7,0.2,0.13999999999999999,1.0,0.25,19.891351053534137,710,0,0,0.06666227206042775,-67.24457529858644
conservative,0.7,0.2,0.13999999999999999,1.0,0.5,19.891351053534137,710,0,0,0.1333245441208555,-67.23337615925973
conservative,0.7,0.2,0.13999999999999999,1.0,0.75,19.891351053534137,710,0,0,0.1999868161812833,-67.22217701993303
conservative,0.7,0.2,0.13999999999999999,1.0,1.0,19.891351053534137,710,0,0,0.266649088241711,-67.21097788060632
conservative,0.7,0.25,0.175,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.7,0.25,0.175,0.0,0.25,28.0,710,710,4,0.06324445216405417,-18.896369969322908
conservative,0.7,0.25,0.175,0.0,0.5,28.0,710,710,4,0.12648890432810833,-18.885745045403333
conservative,0.7,0.25,0.175,0.0,0.75,28.0,710,710,5,0.1897333564921625,-18.875120121483754
conservative,0.7,0.25,0.175,0.0,1.0,28.0,710,710,6,0.25297780865621666,-18.864495197564178
conservative,0.7,0.25,0.175,0.25,0.0,25.70600537643646,710,161,0,0.0,-32.35467302092061
conservative,0.7,0.25,0.175,0.25,0.25,25.70600537643646,710,161,0,0.06324445216405417,-32.344048097001036
conservative,0.7,0.25,0.175,0.25,0.5,25.70600537643646,710,161,0,0.12648890432810833,-32.33342317308146
conservative,0.7,0.25,0.175,0.25,0.75,25.70600537643646,710,162,0,0.1897333564921625,-32.322798249161885
conservative,0.7,0.25,0.175,0.25,1.0,25.70600537643646,710,162,0,0.25297780865621666,-32.312173325242306
conservative,0.7,0.25,0.175,0.5,0.0,23.599954014763583,710,0,0,0.0,-44.89580522186912
conservative,0.7,0.25,0.175,0.5,0.25,23.599954014763583,710,1,0,0.06324445216405417,-44.885180297949546
