cadence_case,fixed_replacement_cadence_hours,unfloored_stack_cost_learning_rate,terminal_stack_cost_factor,strict_record_count,retain_low_count,reach_6p5_count,npv_6p5_100m_cny
fixed_40000h,40000.0,0.58,0.000371817527399752,710,710,6,-15.092373217649905
fixed_40000h,40000.0,0.59,0.0002985795118399169,710,710,6,-15.091823486939388
fixed_40000h,40000.0,0.6,0.00023847209694275343,710,710,6,-15.091362662044105
fixed_40000h,40000.0,0.61,0.00018938406001341352,710,710,6,-15.090978062178841
fixed_40000h,40000.0,0.62,0.00014950273516506428,710,710,6,-15.090658561621833
fixed_40000h,40000.0,0.63,0.00011727785630641267,710,710,6,-15.090394431627383
fixed_40000h,40000.0,0.64,9.138900829349868e-05,710,710,6,-15.090177194929295
fixed_40000h,40000.0,0.65,7.071640699794977e-05,710,710,6,-15.089999492123672
fixed_40000h,40000.0,0.66,5.431474407453477e-05,710,710,6,-15.089854959242494
fixed_40000h,40000.0,0.67,4.138984680571044e-05,710,710,6,-15.089738115852017
fixed_40000h,40000.0,0.68,3.1277917561150567e-05,710,710,6,-15.089644263032785
fixed_40000h,40000.0,0.69,2.3427131137221665e-05,710,710,6,-15.089569390620387
fixed_40000h,40000.0,0.7,1.7381381536308896e-05,710,710,6,-15.089510093108334
fixed_40000h,40000.0,0.71,1.2765982610102851e-05,710,710,6,-15.089463493636629
fixed_40000h,40000.0,0.72,9.27513942578207e-06,710,710,6,-15.089427175511474
fixed_40000h,40000.0,0.73,6.661019220858871e-06,710,710,6,-15.089399120723376
fixed_40000h,40000.0,0.74,4.7242623927100565e-06,710,710,6,-15.08937765495244
fixed_40000h,40000.0,0.75,3.305785123966942e-06,710,710,6,-15.08936139857114
fixed_40000h,40000.0,0.76,2.2797359764990955e-06,710,710,6,-15.08934922317605
fixed_40000h,40000.0,0.77,1.5474790962542776e-06,710,710,6,-15.089340213201018
fixed_40000h,40000.0,0.78,1.032486560328249e-06,710,710,6,-15.089333632185184
fixed_40000h,40000.0,0.79,6.760318679995482e-07,710,710,6,-15.089328893289915
fixed_40000h,40000.0,0.8,4.33585630805005e-07,710,710,6,-15.08932553367899
fixed_40000h,40000.0,0.81,2.7182315484557066e-07,710,710,6,-15.089323192396906
fixed_40000h,40000.0,0.82,1.661618332609069e-07,710,710,6,-15.08932159139987
fixed_40000h,40000.0,0.83,9.875408013551818e-08,710,710,6,-15.089320519414061
fixed_40000h,40000.0,0.84,5.6868941020273994e-08,710,710,6,-15.089319818315222
fixed_40000h,40000.0,0.85,3.1602511884197995e-08,710,710,6,-15.089319371742869
fixed_40000h,40000.0,0.86,1.6863889865058284e-08,710,710,6,-15.08931909568161
fixed_40000h,40000.0,0.87,8.589567986745545e-09,710,710,6,-15.08931893076079
fixed_40000h,40000.0,0.88,4.144974502725628e-09,710,710,6,-15.089318836042095
fixed_40000h,40000.0,0.89,1.8772482915059075e-09,710,710,6,-15.089318784083252
fixed_40000h,40000.0,0.9,7.883375105545546e-10,710,710,6,-15.08931875708353
fixed_60000h,60000.0,0.0,1.0,710,710,0,-18.91226908696323
fixed_60000h,60000.0,0.01,0.9125694381247441,710,710,0,-18.91060865573314
fixed_60000h,60000.0,0.02,0.8320098001361613,710,710,0,-18.909072484435644
fixed_60000h,60000.0,0.03,0.7578430808270069,710,710,0,-18.907652400982634
fixed_60000h,60000.0,0.04,0.6896201328909773,710,710,0,-18.906340695136947
fixed_60000h,60000.0,0.05,0.6269191955021612,710,710,0,-18.905130096768726
fixed_60000h,60000.0,0.06,0.5693444838326089,710,710,3,-18.904013754926062
fixed_60000h,60000.0,0.07,0.5165248375797177,710,710,3,-18.90298521769751
fixed_60000h,60000.0,0.08,0.46811242661691876,710,710,4,-18.902038412844338
fixed_60000h,60000.0,0.09,0.42378151192245306,710,710,4,-18.901167629180815
fixed_60000h,60000.0,0.1,0.3832272599818555,710,710,4,-18.900367498681213
fixed_60000h,60000.0,0.11,0.3461646089001082,710,710,4,-18.89963297929259
fixed_60000h,60000.0,0.12,0.3123271844992963,710,710,4,-18.898959338432803
fixed_60000h,60000.0,0.13,0.28146626471699043,710,710,4,-18.898342137153612
fixed_60000h,60000.0,0.14,0.25334979065949276,710,710,4,-18.897777214949006
fixed_60000h,60000.0,0.15,0.22776142270252042,710,710,4,-18.897260675189486
fixed_60000h,60000.0,0.16,0.20449964006986346,710,710,4,-18.89678887116308
fixed_60000h,60000.0,0.17,0.18337688235803642,710,710,4,-18.896358392704578
fixed_60000h,60000.0,0.18,0.16421873151195435,710,710,4,-18.895966053394588
fixed_60000h,60000.0,0.19,0.1468631327932007,710,710,4,-18.89560887831053
fixed_60000h,60000.0,0.2,0.13115965331851426,710,710,4,-18.895284092311883
fixed_60000h,60000.0,0.21,0.1169687767817116,710,710,4,-18.89498910884267
fixed_60000h,60000.0,0.22,0.1041612330073774,710,710,4,-18.894721519234047
fixed_60000h,60000.0,0.23,0.092617361019298,710,710,4,-18.894479082490687
fixed_60000h,60000.0,0.24,0.08222650434078532,710,710,4,-18.894259715544692
fixed_60000h,60000.0,0.25,0.07288643727773907,710,710,4,-18.89406148396123
fixed_60000h,60000.0,0.26,0.06450282096852697,710,710,4,-18.893882593080424
fixed_60000h,60000.0,0.27,0.05698868801752136,710,710,4,-18.89372137958032
fixed_60000h,60000.0,0.28,0.05026395456142427,710,710,4,-18.893576303446146
fixed_60000h,60000.0,0.29,0.04425495864933532,710,710,4,-18.893445940331436
fixed_60000h,60000.0,0.3,0.03889402384887243,710,710,4,-18.89332897429675
fixed_60000h,60000.0,0.31,0.03411904702154427,710,710,4,-18.893224190912303
fixed_60000h,60000.0,0.32,0.029873109240994143,710,710,4,-18.893130470710915
fixed_60000h,60000.0,0.33,0.02610410885769187,710,710,4,-18.893046782978168
fixed_60000h,60000.0,0.34,0.02276441574314079,710,710,4,-18.89297217986684
fixed_60000h,60000.0,0.35,0.019810545775693602,710,710,4,-18.892905790823193
fixed_60000h,60000.0,0.36,0.017202854658632846,710,710,4,-18.89284681731268
fixed_60000h,60000.0,0.37,0.014905250189272318,710,710,4,-18.892794527833395
fixed_60000h,60000.0,0.38,0.012884922125471897,710,710,4,-18.892748253205415
fixed_60000h,60000.0,0.39,0.011112088823134709,710,710,4,-18.892707382124858
fixed_60000h,60000.0,0.4,0.009559759844969887,710,710,4,-18.892671356971547
fixed_60000h,60000.0,0.41,0.00820351376705861,710,710,4,-18.892639669859616
fixed_60000h,60000.0,0.42,0.0070212904355565625,710,710,4,-18.892611858920557
fixed_60000h,60000.0,0.43,0.005993196951202387,710,710,4,-18.892587504808567
fixed_60000h,60000.0,0.44,0.005101326684180131,710,710,4,-18.892566227418424
fixed_60000h,60000.0,0.45,0.0043295906463057055,710,710,4,-18.89254768280608
fixed_60000h,60000.0,0.46,0.0036635605714723765,710,710,4,-18.89253156030292
fixed_60000h,60000.0,0.47,0.0030903230788003216,710,710,4,-18.89251757981449
fixed_60000h,60000.0,0.48,0.002598344315990531,710,710,4,-18.892505489294944
fixed_60000h,60000.0,0.49,0.002177344502984767,710,710,4,-18.89249506238878
fixed_60000h,60000.0,0.5,0.0018181818181818182,710,710,4,-18.89248609623154
fixed_60000h,60000.0,0.51,0.0015127450911566571,710,710,4,-18.892478409401594
fixed_60000h,60000.0,0.52,0.0012538547870745043,710,710,4,-18.892471840015187
fixed_60000h,60000.0,0.53,0.0010351717887865611,710,710,4,-18.89246624395741
fixed_60000h,60000.0,0.54,0.0008511135029398515,710,710,4,-18.892461493241743
fixed_60000h,60000.0,0.55,0.0006967768363306452,710,710,4,-18.892457474491295
fixed_60000h,60000.0,0.56,0.0005678676081805377,710,710,4,-18.892454087535018
fixed_60000h,60000.0,0.57,0.0004606359830172598,710,710,4,-18.892451244112348
fixed_60000h,60000.0,0.58,0.000371817527399752,710,710,4,-18.892448866680063
fixed_60000h,60000.0,0.59,0.0002985795118399169,710,710,4,-18.89244688731535
fixed_60000h,60000.0,0.6,0.00023847209694275343,710,710,4,-18.892445246709265
fixed_60000h,60000.0,0.61,0.00018938406001341352,710,710,4,-18.892443893245034
fixed_60000h,60000.0,0.62,0.00014950273516506428,710,710,4,-18.892442782155833
fixed_60000h,60000.0,0.63,0.00011727785630641267,710,710,4,-18.89244187475698
fixed_60000h,60000.0,0.64,9.138900829349868e-05,710,710,4,-18.892441137747536
fixed_60000h,60000.0,0.65,7.071640699794977e-05,710,710,4,-18.892440542576672
fixed_60000h,60000.0,0.66,5.431474407453477e-05,710,710,4,-18.8924400648703
fixed_60000h,60000.0,0.67,4.138984680571044e-05,710,710,4,-18.89243968391367
fixed_60000h,60000.0,0.68,3.1277917561150567e-05,710,710,4,-18.89243938218579
fixed_60000h,60000.0,0.69,2.3427131137221665e-05,710,710,4,-18.89243914494186
fixed_60000h,60000.0,0.7,1.7381381536308896e-05,710,710,4,-18.892438959839907
fixed_60000h,60000.0,0.71,1.2765982610102851e-05,710,710,4,-18.89243881660818
fixed_60000h,60000.0,0.72,9.27513942578207e-06,710,710,4,-18.89243870674989
fixed_60000h,60000.0,0.73,6.661019220858871e-06,710,710,4,-18.892438623282185
fixed_60000h,60000.0,0.74,4.7242623927100565e-06,710,710,4,-18.892438560506356
fixed_60000h,60000.0,0.75,3.305785123966942e-06,710,710,4,-18.892438513806432
fixed_60000h,60000.0,0.76,2.2797359764990955e-06,710,710,4,-18.892438479473533
fixed_60000h,60000.0,0.77,1.5474790962542776e-06,710,710,4,-18.89243845455347
fixed_60000h,60000.0,0.78,1.032486560328249e-06,710,710,4,-18.892438436715302
fixed_60000h,60000.0,0.79,6.760318679995482e-07,710,710,4,-18.892438424138604
fixed_60000h,60000.0,0.8,4.33585630805005e-07,710,710,4,-18.892438415417466
fixed_60000h,60000.0,0.81,2.7182315484557066e-07,710,710,4,-18.892438409479304
fixed_60000h,60000.0,0.82,1.661618332609069e-07,710,710,4,-18.892438405516792
fixed_60000h,60000.0,0.83,9.875408013551818e-08,710,710,4,-18.89243840293119
fixed_60000h,60000.0,0.84,5.6868941020273994e-08,710,710,4,-18.892438401285744
fixed_60000h,60000.0,0.85,3.1602511884197995e-08,710,710,4,-18.89243840026765
fixed_60000h,60000.0,0.86,1.6863889865058284e-08,710,710,4,-18.892438399657472
fixed_60000h,60000.0,0.87,8.589567986745545e-09,710,710,4,-18.892438399304844
fixed_60000h,60000.0,0.88,4.144974502725628e-09,710,710,4,-18.89243839910942
fixed_60000h,60000.0,0.89,1.8772482915059075e-09,710,710,4,-18.892438399006284
fixed_60000h,60000.0,0.9,7.883375105545546e-10,710,710,4,-18.892438398954905
fixed_80000h,80000.0,0.0,1.0,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.01,0.9125694381247441,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.02,0.8320098001361613,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.03,0.7578430808270069,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.04,0.6896201328909773,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.05,0.6269191955021612,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.06,0.5693444838326089,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.07,0.5165248375797177,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.08,0.46811242661691876,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.09,0.42378151192245306,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.1,0.3832272599818555,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.11,0.3461646089001082,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.12,0.3123271844992963,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.13,0.28146626471699043,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.14,0.25334979065949276,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.15,0.22776142270252042,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.16,0.20449964006986346,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.17,0.18337688235803642,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.18,0.16421873151195435,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.19,0.1468631327932007,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.2,0.13115965331851426,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.21,0.1169687767817116,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.22,0.1041612330073774,710,710,3,-18.899630642784118
fixed_80000h,80000.0,0.23,0.092617361019298,710,710,3,-18.899630642784118
