ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,audited_boundary,low_npv_to_capex_128,high_npv_to_capex_128,low_128,high_128,strict_128,low_256,high_256,strict_256,low_adaptive,high_adaptive,strict_adaptive,low_capacity_mw_128,high_capacity_mw_128,low_capacity_mw_256,high_capacity_mw_256,low_capacity_mw_adaptive,low_npv_adaptive,high_capacity_mw_adaptive,high_npv_adaptive,low_final_bracket_relative_width,high_final_bracket_relative_width
7559,云南,光伏,56.0,27.1262,100.6737,False,-0.5445529596075602,-0.5531350898758922,False,False,False,False,False,False,False,False,False,1.0226632391487027,1.0226632391487027,1.0049145503273695,1.0049145503273695,,,,,,
756,广东,光伏,200.0,24.96,112.583,False,-2.040948566653914,-1.3287994240829846,False,False,False,False,False,False,False,False,False,1.0043575332805084,1.0043575332805084,1.0043575332805084,1.0043575332805084,,,,,,
7560,云南,光伏,20.0,25.785,100.4602,False,-0.8429431928504799,-0.712957640280233,False,False,False,False,False,False,False,False,False,1.0090704275282545,1.0090704275282545,1.0013763040095716,1.0013763040095716,,,,,,
7561,浙江,光伏,2.0,29.7112,120.242,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7563,安徽,光伏,2.0,33.6434,116.9721,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0004609787930429309,0.0004609787930429309,0.0004609787930429309,0.0004609787930429309,,,,,,
7565,山东,光伏,5.0,34.8587,115.5508,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0019169081284335255,0.0019169081284335255,0.0019169081284335255,0.0019169081284335255,,,,,,
7566,浙江,光伏,100.0,27.6623,120.5645,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7568,云南,光伏,20.0,25.7603,100.3963,False,-0.7863835327766604,-0.6826040875579795,False,False,False,False,False,False,False,False,False,1.0083752017606902,1.0083752017606902,1.0004427823112494,1.0004427823112494,,,,,,
7569,江苏,光伏,5.0,33.9934,119.8147,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0006823167317831095,0.0006823167317831095,0.0006823167317831095,0.0006823167317831095,,,,,,
757,广东,光伏,500.0,22.975,116.084,False,-1.9254143417797713,-1.2704080285257862,False,False,False,False,False,False,False,False,False,1.0182756745039727,1.0182756745039727,1.0182756745039727,1.0182756745039727,,,,,,
7574,云南,光伏,60.0,26.606,100.921,False,-0.46718763867022794,-0.5114948487136556,False,False,False,False,False,False,False,False,False,1.0009348621605005,1.0009348621605005,1.0009348621605005,1.0009348621605005,,,,,,
7575,云南,光伏,100.0,25.7738,100.4053,False,-0.4911166994677371,-0.5244770932751087,False,False,False,False,False,False,False,False,False,1.0036870253070906,1.0036870253070906,1.0036870253070906,1.0036870253070906,,,,,,
7577,云南,光伏,200.0,25.9312,99.5465,False,-0.4719530475527848,-0.5142711320001144,False,False,False,False,False,False,False,False,False,1.0650649146429916,1.0650649146429916,1.0106728295847776,1.0106728295847776,,,,,,
7578,安徽,光伏,2.7,32.0,117.0,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0005849250374257261,0.0005849250374257261,0.0005849250374257261,0.0005849250374257261,,,,,,
758,甘肃,光伏,20.0,35.847,104.585,False,-0.6515514752716349,-0.6100657593668382,False,False,False,False,False,False,False,False,False,1.0106209956738246,1.0106209956738246,1.0013636804508643,1.0013636804508643,,,,,,
7581,浙江,光伏,50.0,30.928,119.8647,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
7582,云南,光伏,100.0,27.0033,101.1166,False,-0.4109072003588232,-0.48138578291957546,False,False,False,False,False,False,False,False,False,1.0098539745363884,1.0098539745363884,1.0098539745363884,1.0098539745363884,,,,,,
7583,云南,光伏,20.0,23.1497,99.2318,False,-0.7908130646447019,-0.6849242721117244,False,False,False,False,False,False,False,False,False,1.0077047413781794,1.0077047413781794,1.0001038633384978,1.0001038633384978,,,,,,
7588,浙江,光伏,50.0,30.3454,120.8225,False,-inf,-inf,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,,,,,,
