ObjectId,merge_province_cn,power_type_cn,viable_at_zero_hurdle,critical_nominal_equity_return,critical_nominal_equity_return_pct,right_censored_at_15pct
10807,河南,光伏,False,,,False
10808,河北,光伏,False,,,False
10811,安徽,光伏,False,,,False
10813,江苏,光伏,False,,,False
10818,安徽,光伏,False,,,False
1082,广西,光伏,False,,,False
10821,内蒙古,光伏,False,,,False
10826,江苏,光伏,False,,,False
10829,山东,光伏,False,,,False
10835,吉林,光伏,False,,,False
10841,江苏,光伏,False,,,False
10844,山东,光伏,False,,,False
10846,吉林,光伏,False,,,False
10849,山西,光伏,False,,,False
10852,内蒙古,光伏,False,,,False
10854,西藏,光伏,True,0.10144265438430011,10.144265438430011,False
10859,吉林,光伏,False,,,False
1086,广西,光伏,False,,,False
10862,辽宁,光伏,False,,,False
10866,江苏,光伏,False,,,False
10867,河北,光伏,False,,,False
10868,辽宁,光伏,False,,,False
10871,河北,光伏,False,,,False
10873,安徽,光伏,False,,,False
10880,江苏,光伏,False,,,False
10882,河北,光伏,False,,,False
10885,河南,光伏,False,,,False
10892,海南,光伏,False,,,False
10894,浙江,光伏,False,,,False
10895,山东,光伏,False,,,False
10896,海南,光伏,False,,,False
10897,江苏,光伏,False,,,False
10898,辽宁,光伏,False,,,False
109,甘肃,光伏,False,,,False
10900,海南,光伏,False,,,False
10907,黑龙江,光伏,False,,,False
10911,河北,光伏,False,,,False
10914,江苏,光伏,False,,,False
10916,山东,光伏,False,,,False
10917,辽宁,光伏,False,,,False
10919,江西,光伏,False,,,False
10921,安徽,光伏,False,,,False
10923,山东,光伏,False,,,False
10924,山东,光伏,False,,,False
10925,辽宁,光伏,False,,,False
10930,江西,光伏,False,,,False
10931,江苏,光伏,False,,,False
10934,江苏,光伏,False,,,False
10939,江苏,光伏,False,,,False
10940,江西,光伏,False,,,False
10941,河南,光伏,False,,,False
10944,辽宁,光伏,False,,,False
10945,江苏,光伏,False,,,False
1095,广西,光伏,False,,,False
10956,西藏,光伏,True,0.07041443078778684,7.041443078778683,False
1096,广西,光伏,False,,,False
10966,安徽,光伏,False,,,False
1097,广西,光伏,False,,,False
10974,辽宁,光伏,False,,,False
10975,安徽,光伏,False,,,False
10980,辽宁,光伏,False,,,False
10987,山东,光伏,False,,,False
1099,广西,光伏,False,,,False
10990,江苏,光伏,False,,,False
10992,辽宁,光伏,False,,,False
10994,辽宁,光伏,False,,,False
10995,江苏,光伏,False,,,False
110,甘肃,光伏,False,,,False
1100,广西,光伏,False,,,False
11000,辽宁,光伏,False,,,False
11001,宁夏,光伏,False,,,False
11003,江苏,光伏,False,,,False
11008,西藏,光伏,True,0.07324810107238591,7.324810107238592,False
11009,辽宁,光伏,False,,,False
1101,广西,光伏,False,,,False
11011,浙江,光伏,False,,,False
11013,山东,光伏,False,,,False
11014,天津,光伏,False,,,False
11016,新疆,光伏,False,,,False
11019,新疆,光伏,False,,,False
11021,山东,光伏,False,,,False
11022,新疆,光伏,False,,,False
11024,河南,光伏,False,,,False
11027,山东,光伏,False,,,False
11028,宁夏,光伏,False,,,False
11029,湖北,光伏,False,,,False
11034,山西,光伏,False,,,False
11038,西藏,光伏,True,0.0892537733539939,8.92537733539939,False
11039,山西,光伏,False,,,False
1104,广东,光伏,False,,,False
11041,西藏,光伏,True,0.04871244002133608,4.871244002133608,False
11042,山西,光伏,False,,,False
11043,浙江,光伏,False,,,False
11044,辽宁,光伏,False,,,False
11045,西藏,光伏,True,0.08903875518590212,8.903875518590212,False
11048,山东,光伏,False,,,False
11051,西藏,光伏,True,0.08532374734058977,8.532374734058976,False
11052,山西,光伏,False,,,False
11055,江西,光伏,False,,,False
11056,江苏,光伏,False,,,False
11061,浙江,光伏,False,,,False
11062,山西,光伏,False,,,False
11064,浙江,光伏,False,,,False
11077,浙江,光伏,False,,,False
11081,内蒙古,光伏,False,,,False
11086,浙江,光伏,False,,,False
11088,辽宁,光伏,False,,,False
11093,内蒙古,光伏,False,,,False
11094,江苏,光伏,False,,,False
11098,河北,光伏,False,,,False
111,甘肃,光伏,False,,,False
1110,广西,光伏,False,,,False
11101,宁夏,光伏,False,,,False
11112,浙江,光伏,False,,,False
11113,江苏,光伏,False,,,False
11116,山东,光伏,False,,,False
11131,河南,光伏,False,,,False
11132,山西,光伏,False,,,False
11133,浙江,光伏,False,,,False
11137,山东,光伏,False,,,False
11145,宁夏,光伏,False,,,False
