year,learning_strength,source_case_id,cumulative_electrolyzer_gw,energy_factor,stack_life_hours,stack_cost_factor,new_build_equipment_factor,new_build_bop_epc_factor
2053,base,T2_base,1640.0,0.9133232232116776,88603.33634014642,0.55,0.55,0.65
2054,base,T2_base,1720.0,0.9126370300718508,88829.78007628926,0.55,0.55,0.65
2055,base,T2_base,1800.0,0.9119820385306532,89045.9272848845,0.55,0.55,0.65
2056,base,T2_base,1880.0,0.911355534062574,89252.67375935054,0.55,0.55,0.65
2057,base,T2_base,1960.0,0.9107551416678614,89450.80324960574,0.55,0.55,0.65
2058,base,T2_base,2040.0,0.9101787715088698,89641.00540207297,0.55,0.55,0.65
2059,base,T2_base,2120.0,0.9096245750095624,89823.8902468444,0.55,0.55,0.65
2060,base,T2_base,2200.0,0.9090909090909092,90000.0,0.55,0.55,0.65
2026,optimistic,T3_optimistic,4.0,1.0,60000.0,1.0,1.0,1.0
2027,optimistic,T3_optimistic,70.0,0.946225557609351,76900.53903706113,0.4406695117386035,0.45,0.7087118435024112
2028,optimistic,T3_optimistic,120.0,0.936099002037892,80083.1707880911,0.4,0.45,0.6642182905196893
2029,optimistic,T3_optimistic,170.0,0.929555087391649,82139.82967691029,0.4,0.45,0.6369629937793232
2030,optimistic,T3_optimistic,220.0,0.9247110470319468,83662.24236138818,0.4,0.45,0.617510581392145
2031,optimistic,T3_optimistic,318.0,0.9177891756499158,85837.68765288363,0.4,0.45,0.5907405628793371
2032,optimistic,T3_optimistic,416.0,0.9127421375244532,87423.89963517184,0.4,0.45,0.5719558680727975
2033,optimistic,T3_optimistic,514.0,0.9087678049227392,88672.9755957105,0.4,0.45,0.5575850414660736
2034,optimistic,T3_optimistic,612.0,0.9054891653461412,89703.40517692702,0.4,0.45,0.5460019810110641
2035,optimistic,T3_optimistic,710.0,0.9026985637145248,90580.45140400648,0.4,0.45,0.5363328612592837
2036,optimistic,T3_optimistic,808.0,0.9002693565675418,91343.91650734397,0.4,0.45,0.5280554430419317
2037,optimistic,T3_optimistic,906.0,0.8981185815492956,92019.87437022135,0.4,0.45,0.5208334574185419
2038,optimistic,T3_optimistic,1004.0,0.8961889248454514,92626.33790571528,0.4,0.45,0.5144380561037081
2039,optimistic,T3_optimistic,1102.0,0.8944391294253008,93176.2736091912,0.4,0.45,0.5087066812059056
2040,optimistic,T3_optimistic,1200.0,0.8928385061524438,93679.3266378034,0.4,0.45,0.50351985074902
2041,optimistic,T3_optimistic,1330.0,0.890906042716829,94286.67228899656,0.4,0.45,0.5
2042,optimistic,T3_optimistic,1460.0,0.8891539400798674,94837.33311775596,0.4,0.45,0.5
2043,optimistic,T3_optimistic,1590.0,0.8875513866532857,95340.9927661102,0.4,0.45,0.5
2044,optimistic,T3_optimistic,1720.0,0.8860748487129416,95805.0475473612,0.4,0.45,0.5
2045,optimistic,T3_optimistic,1850.0,0.884705944664005,96235.27453416985,0.4,0.45,0.5
2046,optimistic,T3_optimistic,1980.0,0.8834300428786269,96636.2722381458,0.4,0.45,0.5
2047,optimistic,T3_optimistic,2110.0,0.8822353062981627,97011.76087772024,0.4,0.45,0.5
2048,optimistic,T3_optimistic,2240.0,0.8811120231652603,97364.79271948963,0.4,0.45,0.5
2049,optimistic,T3_optimistic,2370.0,0.880052126840643,97697.90299294076,0.4,0.45,0.5
2050,optimistic,T3_optimistic,2500.0,0.8790488440134798,98013.22045290636,0.4,0.45,0.5
2051,optimistic,T3_optimistic,2600.0,0.8783119733088295,98244.8083886536,0.4,0.45,0.5
2052,optimistic,T3_optimistic,2700.0,0.8776029157767603,98467.6550415896,0.4,0.45,0.5
2053,optimistic,T3_optimistic,2800.0,0.8769196479462664,98682.39635974482,0.4,0.45,0.5
2054,optimistic,T3_optimistic,2900.0,0.8762603594357443,98889.60132019462,0.4,0.45,0.5
2055,optimistic,T3_optimistic,3000.0,0.8756234240446318,99089.78101454428,0.4,0.45,0.5
2056,optimistic,T3_optimistic,3100.0,0.8750073755869072,99283.39624411486,0.4,0.45,0.5
2057,optimistic,T3_optimistic,3200.0,0.8744108875626492,99470.8639088817,0.4,0.45,0.5
2058,optimistic,T3_optimistic,3300.0,0.8738327559586568,99652.56241299356,0.4,0.45,0.5
2059,optimistic,T3_optimistic,3400.0,0.8732718846173827,99828.83626310829,0.4,0.45,0.5
2060,optimistic,T3_optimistic,3500.0,0.8727272727272727,100000.0,0.4,0.45,0.5
