resource_branch,scenario_id,terminal_h2_price_2060_real_cny_per_kg,price_path_shape,learning_case,scope,cohort_count,retain_low_return_count,reach_colocated_6p5_count,reach_independent_h2_8_count,raw_npv_colocated_6p5_pass_count,raw_npv_independent_h2_8_pass_count,retain_low_return_share,reach_colocated_6p5_share,reach_independent_h2_8_share,npv_low_total_100m_cny,npv_colocated_6p5_total_100m_cny,capacity_gw,capex_100m_cny,h2_mt_per_year
full_output_upper_bound,full_output_upper_bound_P22_linear_base,22.0,linear,base,strict_marginal_vs_6p5,760,94,0,0,0,0,0.12368421052631579,0.0,0.0,-20.30776069734628,-25.573301487840983,1.0850577635365433,78.12415897463111,0.09333806891983658
full_output_upper_bound,full_output_upper_bound_P22_linear_optimistic,22.0,linear,optimistic,strict_marginal_vs_6p5,760,260,0,0,0,0,0.34210526315789475,0.0,0.0,-3.1301156402377326,-19.481652829714843,1.0850577635365433,78.12415897463111,0.09513102083819541
full_output_upper_bound,full_output_upper_bound_P22_back_loaded_none,22.0,back_loaded,none,strict_marginal_vs_6p5,760,29,0,0,0,0,0.038157894736842106,0.0,0.0,-32.53475034027041,-27.184744583883433,1.0850577635365433,78.12415897463111,0.08941437003295884
full_output_upper_bound,full_output_upper_bound_P22_back_loaded_conservative,22.0,back_loaded,conservative,strict_marginal_vs_6p5,760,206,0,0,0,0,0.2710526315789474,0.0,0.0,-6.933310053843615,-18.065565786938077,1.0850577635365433,78.12415897463111,0.09166064270882597
full_output_upper_bound,full_output_upper_bound_P22_back_loaded_base,22.0,back_loaded,base,strict_marginal_vs_6p5,760,597,5,0,5,0,0.7855263157894737,0.006578947368421052,0.0,8.09531846050619,-12.728685612049818,1.0850577635365433,78.12415897463111,0.09333806891983658
full_output_upper_bound,full_output_upper_bound_P22_back_loaded_optimistic,22.0,back_loaded,optimistic,strict_marginal_vs_6p5,760,726,175,23,175,23,0.9552631578947368,0.23026315789473684,0.030263157894736843,25.30669536390415,-6.656643057650175,1.0850577635365433,78.12415897463111,0.09513102083819541
full_output_upper_bound,full_output_upper_bound_P18_front_loaded_none,18.0,front_loaded,none,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-183.5734918505799,-90.57237930378197,1.0850577635365433,78.12415897463111,0.08941437003295884
full_output_upper_bound,full_output_upper_bound_P18_front_loaded_conservative,18.0,front_loaded,conservative,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-157.64973411998133,-81.30018872342154,1.0850577635365433,78.12415897463111,0.09166064270882597
full_output_upper_bound,full_output_upper_bound_P18_front_loaded_base,18.0,front_loaded,base,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-142.02620303024642,-75.75788798395563,1.0850577635365433,78.12415897463111,0.09333806891983658
full_output_upper_bound,full_output_upper_bound_P18_front_loaded_optimistic,18.0,front_loaded,optimistic,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-123.87945903669677,-69.37038573327955,1.0850577635365433,78.12415897463111,0.09513102083819541
full_output_upper_bound,full_output_upper_bound_P18_linear_none,18.0,linear,none,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-130.27130988753987,-62.96349686082177,1.0850577635365433,78.12415897463111,0.08941437003295884
full_output_upper_bound,full_output_upper_bound_P18_linear_conservative,18.0,linear,conservative,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-103.77664867122232,-53.4821412875804,1.0850577635365433,78.12415897463111,0.09166064270882597
full_output_upper_bound,full_output_upper_bound_P18_linear_base,18.0,linear,base,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-87.96837233140745,-47.876615143284944,1.0850577635365433,78.12415897463111,0.09333806891983658
full_output_upper_bound,full_output_upper_bound_P18_linear_optimistic,18.0,linear,optimistic,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-69.92411357320574,-41.53196617290755,1.0850577635365433,78.12415897463111,0.09513102083819541
full_output_upper_bound,full_output_upper_bound_P18_back_loaded_none,18.0,back_loaded,none,strict_marginal_vs_6p5,760,0,0,0,0,0,0.0,0.0,0.0,-77.37009628148925,-39.683505189214905,1.0850577635365433,78.12415897463111,0.08941437003295884
full_output_upper_bound,full_output_upper_bound_P18_back_loaded_conservative,18.0,back_loaded,conservative,strict_marginal_vs_6p5,760,1,0,0,0,0,0.0013157894736842105,0.0,0.0,-51.307735813407795,-30.371645797008235,1.0850577635365433,78.12415897463111,0.09166064270882597
full_output_upper_bound,full_output_upper_bound_P18_back_loaded_base,18.0,back_loaded,base,strict_marginal_vs_6p5,760,5,0,0,0,0,0.006578947368421052,0.0,0.0,-35.97705077451685,-24.946072269897662,1.0850577635365433,78.12415897463111,0.09333806891983658
full_output_upper_bound,full_output_upper_bound_P18_back_loaded_optimistic,18.0,back_loaded,optimistic,strict_marginal_vs_6p5,760,121,0,0,0,0,0.15921052631578947,0.0,0.0,-18.581090497757007,-18.8615180900511,1.0850577635365433,78.12415897463111,0.09513102083819541
