ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_h2_price,strict_marginal_vs_6p5,retain_low_return,raw_npv_colocated_6p5_pass,raw_npv_independent_h2_8_pass,reach_colocated_6p5,reach_independent_h2_8,npv_low_100m_cny,npv_colocated_6p5_100m_cny
W7956,天津,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4011961362749008,-0.1516917105812536
W7957,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.5029486360730765,-0.22302046160672165
W7958,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.6897289807079476,-0.18281391655407686
W7962,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.43522414241091745,-0.18575194530420766
W7964,天津,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4011961362749008,-0.1516917105812536
W7965,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18113334717821614,-0.06855902515364505
W7968,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.3127076976597683,0.18048127104328437
W7969,天津,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4011961362749008,-0.1516917105812536
W797,甘肃,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.1961310168143455,-0.08197615961972737
W7970,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.14171994996650852,-0.020840349931360285
W7972,新疆,风电,full_output_upper_bound,12.0,False,True,True,True,True,True,0.3127076976597683,0.18048127104328437
W7973,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18113334717821614,-0.06855902515364505
W7974,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.23864894020940927,-0.08728401888328573
W7976,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18113334717821614,-0.06855902515364505
W7977,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.23864894020940927,-0.08728401888328573
W7978,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3448644923547285,-0.09140695938037618
W7981,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.5029486360730765,-0.22302046160672165
W7982,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.13794579447968133,-0.03656278193133382
W7983,山西,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.14318936752987438,-0.052370413050098194
W7984,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18113334717821614,-0.06855902515364505
W7987,山西,风电,full_output_upper_bound,12.0,False,False,True,True,False,False,-0.13447000345614038,0.03532770588806377
W7988,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.5029486360730765,-0.22302046160672165
W7990,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.5029486360730765,-0.22302046160672165
W7991,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.5029486360730765,-0.22302046160672165
W7998,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.1276088308818994,-0.09451204043444497
W7999,新疆,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.1276088308818994,-0.09451204043444497
W8000,新疆,风电,full_output_upper_bound,12.0,False,True,True,False,True,False,0.05885153940120754,0.03289820644997068
W8001,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.21579397497700695,-0.09833595251460431
W8002,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.4665481257426983,-0.16430603070289668
W8003,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.21579397497700695,-0.09833595251460431
W8004,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3720504343708787,-0.16826066128760192
W8006,云南,风电,full_output_upper_bound,12.0,False,False,False,True,False,False,-0.2410438836099607,-0.008251375048194332
W8007,云南,风电,full_output_upper_bound,12.0,False,False,False,True,False,False,-0.2410438836099607,-0.008251375048194332
