scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main,candidate_station_count,capacity_candidates_per_station,minimum_electrolyzer_capacity_mw,low_return_entry_count,colocated_6p5_same_configuration_count,colocated_6p5_independent_optimized_count,independent_h2_8_same_configuration_count,independent_h2_8_independent_optimized_count,strict_marginal_vs_6p5_count,strict_marginal_vs_8_count,low_return_station_count,low_return_capacity_gw,low_return_capex_100m_cny,low_return_h2_mt_per_year,low_return_mean_capture_target,low_return_median_capture_target,strict_6p5_station_count,strict_6p5_capacity_gw,strict_6p5_capex_100m_cny,strict_6p5_h2_mt_per_year,strict_6p5_mean_capture_target,strict_6p5_median_capture_target,strict_8_station_count,strict_8_capacity_gw,strict_8_capex_100m_cny,strict_8_h2_mt_per_year,strict_8_mean_capture_target,strict_8_median_capture_target
C744,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.7,0.045,False,10214,16,1.0,2584,722,1135,418,1017,1449,1567,2584,10.22817146522508,1104.6425182443088,0.34196410319573484,0.5223103715170279,0.5,1449,3.28240317479048,354.4995428773718,0.0901621855699304,0.3787094547964113,0.4,1567,3.8123534983994722,411.73417782714307,0.10612827974491962,0.3932673899170389,0.4
C745,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.8,0.025,False,10214,16,1.0,3063,1044,1426,848,1221,1637,1842,3063,11.630788321829243,1256.1251387575583,0.3748808786242971,0.519866144302971,0.5,1637,2.657011504790891,286.9572425174162,0.06772194122364796,0.3876908979841173,0.4,1842,4.019363824608248,434.09129305769073,0.1053334502060938,0.39421824104234526,0.4
C746,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.8,0.035,False,10214,16,1.0,2790,955,1265,649,1109,1525,1681,2790,10.705200339342687,1156.1616366490102,0.35340841873355494,0.5206989247311828,0.5,1525,2.923237449676862,315.70964456510103,0.07783498737753099,0.38337704918032783,0.4,1681,3.8900704978581206,420.12761376867707,0.10573911143237313,0.3921772754312909,0.4
C747,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,0.75,0.8,0.045,False,10214,16,1.0,2453,825,1169,512,1044,1284,1409,2453,9.864468541007065,1065.3626024287628,0.33310380999316835,0.52083163473298,0.5,1284,2.8282217296389045,305.44794680100165,0.07818045125607735,0.36425233644859806,0.4,1409,3.3975726264187363,366.93784365322347,0.09519624971309246,0.37899219304471254,0.4
C748,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.5,0.025,False,10214,16,1.0,3512,832,1252,367,1056,2260,2456,3512,16.135788950402336,1742.6652066434522,0.5150928024517161,0.48154612756264237,0.4,2260,5.746967603079514,620.6725011325876,0.14984892029584793,0.35340265486725664,0.4,2456,7.019515949017155,758.1077224938527,0.18633063929275742,0.37047638436482083,0.4
C749,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.5,0.035,False,10214,16,1.0,3341,736,1192,362,1006,2149,2335,3341,15.334986092664792,1656.1784980077978,0.49696403560630553,0.4800059862316671,0.4,2149,5.640914245338392,609.2187384965463,0.15005217689738148,0.3493718008375989,0.4,2335,6.64932161953515,718.1267349097961,0.18006353140755774,0.3697644539614561,0.4
C750,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.5,0.045,False,10214,16,1.0,3118,628,1149,276,928,1969,2190,3118,14.52129768040278,1568.3001494835,0.4780476391737921,0.48269724182168056,0.4,1969,5.297677906534414,572.1492139057167,0.14377707639288148,0.3485779583544947,0.4,2190,6.454769865257625,697.1151454478235,0.1794306917418715,0.3754566210045662,0.4
C751,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.7,0.025,False,10214,16,1.0,3450,990,1380,679,1188,2070,2262,3450,15.801987170704152,1706.6146144360487,0.5075815319650653,0.48105797101449277,0.4,2070,4.242141827186942,458.1513173361897,0.10957279598870891,0.3443236714975845,0.3,2262,6.040280052177971,652.350245635221,0.1596316496836552,0.35364721485411144,0.4
C752,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.7,0.035,False,10214,16,1.0,3152,881,1278,536,1098,1874,2054,3152,14.673692337152026,1584.758772412419,0.4816265888743961,0.48232550761421317,0.4,1874,4.447805760797259,480.3630221661039,0.11875032939095581,0.3398559231590182,0.3,2054,5.6064888274954745,605.5007933695113,0.15229861517936,0.35432814021421616,0.4
C753,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.7,0.045,False,10214,16,1.0,2893,732,1192,422,1050,1701,1843,2893,13.749782248166854,1484.9764828020202,0.4596290253378363,0.48684756308330457,0.4,1701,4.344811485196182,469.2396404011876,0.11943330982803252,0.3374779541446208,0.3,1843,5.068545297531087,547.4028921333573,0.14120360976813853,0.354395008138904,0.4
