ObjectId,merge_province_cn,power_type_cn,low_return_entry_weather_year_count,strict_marginal_weather_year_count,colocated_6p5_weather_year_count
11280,山东,光伏,0,0,0
11282,安徽,光伏,0,0,0
11283,陕西,光伏,0,0,0
11286,河南,光伏,0,0,0
11290,陕西,光伏,0,0,0
11291,河南,光伏,0,0,0
11298,河北,光伏,0,0,0
113,甘肃,光伏,5,5,0
1130,广西,光伏,0,0,0
11305,河南,光伏,0,0,0
11307,山东,光伏,0,0,0
11309,安徽,光伏,0,0,0
1132,贵州,光伏,0,0,0
11320,浙江,光伏,0,0,0
11324,浙江,光伏,0,0,0
11329,河南,光伏,0,0,0
1133,广西,光伏,0,0,0
11331,浙江,光伏,0,0,0
11335,湖南,光伏,0,0,0
1134,贵州,光伏,0,0,0
11344,浙江,光伏,0,0,0
11358,上海,光伏,0,0,0
11363,辽宁,光伏,0,0,0
11373,西藏,光伏,6,0,6
11374,吉林,光伏,0,0,0
11377,上海,光伏,0,0,0
11383,江苏,光伏,0,0,0
1139,广西,光伏,0,0,0
11390,上海,光伏,0,0,0
11392,江苏,光伏,0,0,0
11393,山东,光伏,0,0,0
114,甘肃,光伏,6,6,0
1140,贵州,光伏,0,0,0
11400,江苏,光伏,0,0,0
11404,山东,光伏,0,0,0
11410,江苏,光伏,0,0,0
11421,江苏,光伏,0,0,0
11424,陕西,光伏,0,0,0
11425,浙江,光伏,0,0,0
11431,内蒙古,光伏,0,0,0
11436,江苏,光伏,0,0,0
11438,山东,光伏,0,0,0
11439,江西,光伏,0,0,0
11440,江苏,光伏,0,0,0
11449,山东,光伏,0,0,0
11451,江苏,光伏,0,0,0
11453,江苏,光伏,0,0,0
11459,陕西,光伏,0,0,0
11461,山东,光伏,0,0,0
11468,河南,光伏,0,0,0
1147,贵州,光伏,0,0,0
11473,江西,光伏,0,0,0
11474,浙江,光伏,0,0,0
11479,江苏,光伏,0,0,0
11480,上海,光伏,0,0,0
11481,江苏,光伏,0,0,0
11482,新疆,光伏,0,0,0
11485,浙江,光伏,0,0,0
11487,陕西,光伏,0,0,0
11490,河北,光伏,0,0,0
11493,浙江,光伏,0,0,0
115,甘肃,光伏,6,6,0
11518,浙江,光伏,0,0,0
11526,浙江,光伏,0,0,0
11534,浙江,光伏,0,0,0
11540,湖南,光伏,0,0,0
11542,河北,光伏,0,0,0
11543,河北,光伏,0,0,0
11544,山西,光伏,0,0,0
11545,河南,光伏,0,0,0
11548,湖北,光伏,0,0,0
1155,广东,光伏,0,0,0
11550,浙江,光伏,0,0,0
11552,山东,光伏,0,0,0
11556,浙江,光伏,0,0,0
11558,陕西,光伏,0,0,0
11561,山东,光伏,0,0,0
11563,河南,光伏,0,0,0
11564,江苏,光伏,0,0,0
11569,宁夏,光伏,0,0,0
11570,江苏,光伏,0,0,0
11574,河北,光伏,0,0,0
11576,河北,光伏,0,0,0
11577,江苏,光伏,0,0,0
11578,湖北,光伏,0,0,0
11581,江苏,光伏,0,0,0
11582,江苏,光伏,0,0,0
11587,山东,光伏,0,0,0
11594,山东,光伏,0,0,0
11598,浙江,光伏,0,0,0
116,甘肃,光伏,6,6,0
11600,福建,光伏,0,0,0
11603,河北,光伏,0,0,0
11605,山东,光伏,0,0,0
1161,广西,光伏,0,0,0
11614,山东,光伏,0,0,0
11616,河南,光伏,0,0,0
11619,山东,光伏,0,0,0
1162,广西,光伏,0,0,0
11623,河北,光伏,0,0,0
11628,湖北,光伏,0,0,0
1163,广西,光伏,0,0,0
11634,浙江,光伏,0,0,0
11635,山东,光伏,0,0,0
11636,河北,光伏,0,0,0
1164,贵州,光伏,0,0,0
11641,安徽,光伏,0,0,0
1165,贵州,光伏,0,0,0
11650,山东,光伏,0,0,0
11651,浙江,光伏,0,0,0
1166,广东,光伏,0,0,0
11667,浙江,光伏,0,0,0
11685,浙江,光伏,0,0,0
11686,安徽,光伏,0,0,0
1169,广西,光伏,0,0,0
11692,吉林,光伏,0,0,0
11693,安徽,光伏,0,0,0
117,甘肃,光伏,6,6,0
1170,广东,光伏,0,0,0
11706,宁夏,光伏,0,0,0
11716,山东,光伏,0,0,0
1172,贵州,光伏,0,0,0
11720,辽宁,光伏,0,0,0
11729,安徽,光伏,0,0,0
11737,辽宁,光伏,0,0,0
11744,天津,光伏,0,0,0
11745,河南,光伏,0,0,0
11747,四川,光伏,0,0,0
1175,广东,光伏,0,0,0
11750,安徽,光伏,0,0,0
11758,重庆,光伏,0,0,0
11759,山东,光伏,0,0,0
11766,山东,光伏,0,0,0
11772,浙江,光伏,0,0,0
11774,吉林,光伏,0,0,0
11780,江苏,光伏,0,0,0
11786,山东,光伏,0,0,0
1179,广西,光伏,0,0,0
118,甘肃,光伏,6,6,0
1180,广西,光伏,0,0,0
11801,山东,光伏,0,0,0
11807,山东,光伏,0,0,0
11810,河北,光伏,0,0,0
11811,山东,光伏,0,0,0
1182,广东,光伏,0,0,0
1183,贵州,光伏,0,0,0
11833,山东,光伏,0,0,0
11834,新疆,光伏,0,0,0
1184,贵州,光伏,0,0,0
11841,江苏,光伏,0,0,0
11845,山东,光伏,0,0,0
