weather_year,province,low_return_entry_count,strict_marginal_count,strict_marginal_capacity_gw,strict_marginal_h2_mt_per_year,low_entry_min,low_entry_median,low_entry_max,strict_min,strict_median,strict_max,strict_capacity_gw_min,strict_capacity_gw_max,strict_h2_mt_min,strict_h2_mt_max
2023,四川,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,天津,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,宁夏,22,22,0.02645379431493098,0.0007458954801774184,0,11.0,27,0,11.0,27,0.0,0.03747385118555162,0.0,0.001064370731648817
2023,安徽,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,山东,162,151,0.20718643201747564,0.005986880857772836,15,98.0,162,15,91.0,151,0.02116873369259747,0.20718643201747564,0.0006649320978099052,0.005986880857772836
2023,山西,127,85,0.1817774254915266,0.005439064962709291,50,95.5,167,48,74.0,93,0.08048941924348048,0.19077834750586273,0.002369287827252001,0.0057121635809281755
2023,广东,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,广西,0,0,0.0,0.0,0,0.0,3,0,0.0,3,0.0,0.00473611997996419,0.0,0.00013294836354445783
2023,新疆,557,458,1.0377505846890343,0.032056471733686746,550,560.5,573,443,460.0,478,1.0377505846890343,1.179811033415984,0.032056471733686746,0.03638716045563033
2023,江苏,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,江西,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,河北,247,36,0.07088443552098614,0.0021495316922026104,231,241.5,255,27,37.0,44,0.05533624385145575,0.09625685741705992,0.0016796772912919175,0.0029196753524431732
2023,河南,13,12,0.017088238021994294,0.0004807424387762262,1,9.5,19,0,8.5,18,0.0,0.024741256816101592,0.0,0.0006968645342109532
2023,浙江,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,海南,1,1,0.001070005411943451,3.210219940343421e-05,1,1.5,2,1,1.5,2,0.001070005411943451,0.002428487717051305,3.0280794887645968e-05,7.640353572599015e-05
2023,湖北,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
