electrical_buffer_hours,round_trip_efficiency,battery_capex_cny_per_kwh,battery_fixed_om_rate,battery_replacement_interval_years,battery_replacement_cost_factor,free_lossless_upper_bound,learning_case,strict_record_count,electrolyser_input_twh_per_year,raw_electricity_draw_twh_per_year,ending_stored_energy_gwh,battery_capex_100m_cny,mean_h2_mt_per_year,retain_low_count,reach_6p5_count,zero_buffer_max_absorbed_kwh_error
1.0,0.85,2400.0,0.025,20.0,1.0,False,none,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.05716629203758266,4,0,1.4156103134155273e-06
1.0,0.85,2400.0,0.025,20.0,1.0,False,combined,710,3.2623794046134895,3.356827552310587,0.12632196359785547,36.776984060825406,0.057710796010590495,15,0,1.4156103134155273e-06
1.0,0.9,0.0,0.0,,0.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,0.0,0.05745127495548779,710,607,1.4156103134155273e-06
1.0,0.9,0.0,0.0,,0.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,0.0,0.05800545519908095,710,681,1.4156103134155273e-06
1.0,0.9,900.0,0.025,10.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05745127495548779,709,4,1.4156103134155273e-06
1.0,0.9,900.0,0.025,10.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05800545519908095,710,6,1.4156103134155273e-06
1.0,0.9,900.0,0.025,10.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05745127495548779,618,0,1.4156103134155273e-06
1.0,0.9,900.0,0.025,10.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05800545519908095,710,4,1.4156103134155273e-06
1.0,0.9,900.0,0.025,15.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05745127495548779,710,7,1.4156103134155273e-06
1.0,0.9,900.0,0.025,15.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05800545519908095,710,23,1.4156103134155273e-06
1.0,0.9,900.0,0.025,15.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05745127495548779,710,5,1.4156103134155273e-06
1.0,0.9,900.0,0.025,15.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05800545519908095,710,15,1.4156103134155273e-06
1.0,0.9,900.0,0.025,20.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05745127495548779,710,9,1.4156103134155273e-06
1.0,0.9,900.0,0.025,20.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05800545519908095,710,23,1.4156103134155273e-06
1.0,0.9,900.0,0.025,20.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05745127495548779,710,6,1.4156103134155273e-06
1.0,0.9,900.0,0.025,20.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,13.791369022809526,0.05800545519908095,710,20,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,10.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05745127495548779,223,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,10.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05800545519908095,387,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,10.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05745127495548779,46,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,10.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05800545519908095,189,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,15.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05745127495548779,519,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,15.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05800545519908095,673,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,15.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05745127495548779,383,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,15.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05800545519908095,580,0,1.4156103134155273e-06
