ObjectId,province,technology,initial_6p5_gap_100m_cny,operating_learning_gain_100m_cny,gap_share_of_initial_capex,gain_share_of_initial_capex,learning_gain_share_of_gap,closes_gap_at_baseline_learning
6101,Xinjiang,solar PV,0.0155580598228118,0.0,0.2160841642057205,0.0,0.0,False
6102,Xinjiang,solar PV,0.1043309946588107,0.0,0.2197940470606707,0.0,0.0,False
6104,Xinjiang,solar PV,0.016794879365303,0.0,0.2332622134069872,0.0,0.0,False
6111,Xinjiang,solar PV,0.0130483010671859,0.0,0.1812264037109154,0.0,0.0,False
6112,Xinjiang,solar PV,0.062929601449306,0.0,0.2153369700338125,0.0,0.0,False
6114,Xinjiang,solar PV,0.0168813952842249,0.0,0.1890983652211738,0.0,0.0,False
6120,Xinjiang,solar PV,0.0130450988902487,0.0,0.181181929031232,0.0,0.0,False
6123,Xinjiang,solar PV,0.0173955418578522,0.0,0.2416047480257256,0.0,0.0,False
6124,Xinjiang,solar PV,0.0168813952842249,0.0,0.1890983652211738,0.0,0.0,False
6129,Xinjiang,solar PV,0.0923683697316379,0.0,0.2119148664204585,0.0,0.0,False
6131,Xinjiang,solar PV,0.1801976469546761,0.0,0.1982452937381736,0.0,0.0,False
6133,Xinjiang,solar PV,0.0459840103078052,0.0,0.2215877701784148,0.0,0.0,False
6140,Xinjiang,solar PV,0.0135221401709855,0.0,0.1803630684626482,0.0,0.0,False
6143,Xinjiang,solar PV,0.0300329362668289,0.0,0.1982452653693071,0.0,0.0,False
6149,Xinjiang,solar PV,0.0596214015520728,0.0,0.1847938671550483,0.0,0.0,False
6159,Xinjiang,solar PV,0.1201317451423407,0.0,0.1982452654695203,0.0,0.0,False
6160,Xinjiang,solar PV,0.1126922088312512,0.0,0.2099745391295752,0.0,0.0,False
6165,Xinjiang,solar PV,0.063683834748656,0.0,0.1877339217577727,0.0,0.0,False
6178,Xinjiang,solar PV,0.026648840930771,0.0,0.2074025070526281,0.0,0.0,False
6183,Xinjiang,solar PV,0.0127917197239551,0.0,0.1761112359555492,0.0,0.0,False
6189,Xinjiang,solar PV,0.0222095743377313,0.0,0.2181205125850941,0.0,0.0,False
6190,Xinjiang,solar PV,0.0185672791336625,0.0,0.1915700378544662,0.0,0.0,False
6191,Xinjiang,solar PV,0.0149339030719575,0.0,0.207415320443855,0.0,0.0,False
6197,Xinjiang,solar PV,0.1421271427121836,0.0,0.2074024959602872,0.0,0.0,False
6199,Xinjiang,solar PV,0.3553531891711501,0.0,0.2181205125039886,0.0,0.0,False
6214,Xinjiang,solar PV,0.0318419174385806,0.0,0.1877339220992797,0.0,0.0,False
6215,Xinjiang,solar PV,0.0195855189326903,0.0,0.1996392695788238,0.0,0.0,False
6219,Xinjiang,solar PV,0.0143031042770887,0.0,0.1973609164342656,0.0,0.0,False
6224,Xinjiang,solar PV,0.0448800395123142,0.0,0.2033676995549573,0.0,0.0,False
6230,Xinjiang,solar PV,0.0138608624575354,0.0,0.1912838266410747,0.0,0.0,False
6247,Xinjiang,solar PV,0.1019127014222267,0.0,0.2158340836899681,0.0,0.0,False
6253,Xinjiang,solar PV,0.0318419174385806,0.0,0.1877339220992797,0.0,0.0,False
6259,Xinjiang,solar PV,0.0935346272482742,0.0,0.2122654670016798,0.0,0.0,False
6268,Xinjiang,solar PV,0.1075213080286395,0.0,0.1805862361000123,0.0,0.0,False
6270,Xinjiang,solar PV,0.0168813952842249,0.0,0.1890983652211738,0.0,0.0,False
6276,Xinjiang,solar PV,0.0709306566714143,0.0,0.1788963375114798,0.0,0.0,False
6288,Xinjiang,solar PV,0.1530552982671917,0.0,0.1686760040359963,0.0,0.0,False
6290,Xinjiang,solar PV,0.0165618452724657,0.0,0.2300256287842466,0.0,0.0,False
6294,Xinjiang,solar PV,0.0136950995364892,0.0,0.165993813333373,0.0,0.0,False
6295,Xinjiang,solar PV,0.0184259182977941,0.0,0.2559155319138069,0.0,0.0,False
6321,Xinjiang,solar PV,0.0156723692491205,0.0,0.2176717951266746,0.0,0.0,False
6322,Xinjiang,solar PV,0.0249320351349243,0.0,0.1990304015058234,0.0,0.0,False
6323,Xinjiang,solar PV,0.0182202588913256,0.0,0.2530591512684117,0.0,0.0,False
6328,Xinjiang,solar PV,0.0182202588913256,0.0,0.2530591512684117,0.0,0.0,False
6358,Xinjiang,solar PV,0.0172811909796581,0.0,0.2001453569803999,0.0,0.0,False
6360,Xinjiang,solar PV,0.0170034830113227,0.0,0.2361594862683716,0.0,0.0,False
6361,Xinjiang,solar PV,0.0217413015531411,0.0,0.1971535056661744,0.0,0.0,False
